field_id,name,type,is_identifier,required,doc,partition_transform,source_name,comment
444,interval5_18_20_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 18:20",,太陽光発電実績(5分間値)(万kW),
445,interval5_18_25_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 18:25",,当日実績(5分間隔値)(万kW),
446,interval5_18_25_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 18:25",,太陽光発電実績(5分間値)(万kW),
447,interval5_18_30_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 18:30",,当日実績(5分間隔値)(万kW),
448,interval5_18_30_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 18:30",,太陽光発電実績(5分間値)(万kW),
449,interval5_18_35_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 18:35",,当日実績(5分間隔値)(万kW),
450,interval5_18_35_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 18:35",,太陽光発電実績(5分間値)(万kW),
451,interval5_18_40_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 18:40",,当日実績(5分間隔値)(万kW),
452,interval5_18_40_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 18:40",,太陽光発電実績(5分間値)(万kW),
453,interval5_18_45_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 18:45",,当日実績(5分間隔値)(万kW),
454,interval5_18_45_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 18:45",,太陽光発電実績(5分間値)(万kW),
455,interval5_18_50_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 18:50",,当日実績(5分間隔値)(万kW),
456,interval5_18_50_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 18:50",,太陽光発電実績(5分間値)(万kW),
457,interval5_18_55_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 18:55",,当日実績(5分間隔値)(万kW),
458,interval5_18_55_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 18:55",,太陽光発電実績(5分間値)(万kW),
459,interval5_19_00_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 19:00",,当日実績(5分間隔値)(万kW),
460,interval5_19_00_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 19:00",,太陽光発電実績(5分間値)(万kW),
461,interval5_19_05_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 19:05",,当日実績(5分間隔値)(万kW),
462,interval5_19_05_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 19:05",,太陽光発電実績(5分間値)(万kW),
463,interval5_19_10_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 19:10",,当日実績(5分間隔値)(万kW),
464,interval5_19_10_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 19:10",,太陽光発電実績(5分間値)(万kW),
465,interval5_19_15_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 19:15",,当日実績(5分間隔値)(万kW),
466,interval5_19_15_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 19:15",,太陽光発電実績(5分間値)(万kW),
467,interval5_19_20_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 19:20",,当日実績(5分間隔値)(万kW),
468,interval5_19_20_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 19:20",,太陽光発電実績(5分間値)(万kW),
469,interval5_19_25_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 19:25",,当日実績(5分間隔値)(万kW),
470,interval5_19_25_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 19:25",,太陽光発電実績(5分間値)(万kW),
